iter	Passed	Remaining
0	326	162769
1	452	112785
2	572	94831
3	681	84525
4	784	77645
5	890	73349
6	1003	70697
7	1107	68084
8	1205	65748
9	1314	64422
10	1416	62962
11	1519	61774
12	1627	60969
13	1728	59988
14	1824	58994
15	1931	58436
16	2041	58003
17	2140	57319
18	2241	56743
19	2350	56423
20	2447	55823
21	2547	55342
22	2656	55085
23	2763	54813
24	2868	54506
25	2975	54250
26	3087	54096
27	3203	53997
28	3310	53760
29	3408	53400
30	3507	53062
31	3614	52856
32	3718	52616
33	3824	52415
34	3928	52191
35	4035	52008
36	4132	51714
37	4223	51353
38	4336	51254
39	4434	50995
40	4524	50649
41	4628	50477
42	4734	50316
43	4929	51084
44	5095	51524
45	5185	51180
46	5280	50891
47	5373	50600
48	5464	50297
49	5557	50017
50	5651	49753
51	5751	49548
52	5839	49253
53	5937	49043
54	6035	48836
55	6147	48739
56	6249	48570
57	6352	48408
58	6453	48237
59	6554	48065
60	6652	47877
61	6755	47727
62	6855	47552
63	6957	47401
64	7056	47223
65	7160	47082
66	7271	46994
67	7382	46900
68	7496	46823
69	7602	46698
70	7702	46542
71	7805	46398
72	7908	46261
73	8009	46106
74	8110	45958
75	8207	45788
76	8308	45642
77	8411	45510
78	8512	45363
79	8607	45191
80	8705	45030
81	8808	44901
82	8916	44797
83	9024	44693
84	9154	44694
85	9269	44623
86	9368	44474
87	9474	44360
88	9582	44253
89	9684	44116
90	9781	43962
91	9882	43828
92	10003	43778
93	10121	43717
94	10227	43600
95	10351	43563
96	10452	43425
97	10543	43251
98	10649	43136
99	10747	42988
100	10857	42892
101	10964	42783
102	11069	42666
103	11185	42592
104	11291	42477
105	11395	42357
106	11497	42227
107	11584	42047
108	11686	41919
109	11783	41776
110	11875	41616
111	11972	41476
112	12082	41378
113	12197	41300
114	12301	41183
115	12397	41040
116	12502	40925
117	12603	40801
118	12710	40694
119	12811	40568
120	12918	40462
121	13035	40389
122	13138	40269
123	13241	40150
124	13345	40037
125	13456	39941
126	13562	39833
127	13666	39716
128	13779	39629
129	13874	39488
130	13965	39338
131	14057	39191
132	14166	39090
133	14259	38947
134	14359	38824
135	14456	38692
136	14563	38589
137	14661	38460
138	14771	38363
139	14879	38261
140	14987	38160
141	15141	38173
142	15267	38114
143	15396	38064
144	15519	37996
145	15634	37909
146	15788	37914
147	15918	37861
148	16033	37770
149	16150	37683
150	16258	37577
151	16357	37448
152	16456	37322
153	16556	37197
154	16663	37089
155	16770	36980
156	16874	36865
157	16968	36728
158	17070	36611
159	17165	36475
160	17272	36368
161	17394	36291
162	17514	36211
163	17640	36142
164	17752	36042
165	17877	35970
166	17982	35857
167	18098	35766
168	18202	35651
169	18317	35557
170	18438	35475
171	18545	35366
172	18648	35248
173	18749	35128
174	18847	35001
175	18959	34902
176	19048	34760
177	19145	34633
178	19248	34517
179	19351	34403
180	19459	34295
181	19584	34219
182	19690	34108
183	19795	33996
184	19900	33884
185	20015	33789
186	20114	33667
187	20224	33563
188	20332	33456
189	20444	33357
190	20550	33245
191	20649	33125
192	20752	33009
193	20861	32905
194	20960	32783
195	21060	32665
196	21198	32605
197	21310	32504
198	21442	32432
199	21595	32392
200	21710	32295
201	21832	32208
202	21958	32126
203	22075	32030
204	22186	31926
205	22291	31813
206	22392	31695
207	22490	31573
208	22588	31450
209	22692	31336
210	22803	31232
211	22919	31135
212	23035	31038
213	23153	30943
214	23273	30850
215	23395	30761
216	23507	30656
217	23603	30532
218	23702	30413
219	23806	30299
220	23900	30172
221	24003	30058
222	24114	29953
223	24224	29847
224	24326	29732
225	24442	29633
226	24564	29542
227	24685	29449
228	24795	29343
229	24907	29239
230	25026	29143
231	25148	29050
232	25278	28966
